Row.Type,Institution,Program,NA.Math-foundations,NA.Math.01,NA.Math.02,NA.Math.03,NA.Math.04,NA.Math.05,NA.Math.06,NA.Compute-foundations,NA.Compute.01,NA.Compute.02,NA.Compute.03,NA.Compute.04,NA.Compute.05,NA.Statistics-foundations,NA.Statistics.01,NA.Statistics.02,NA.Statistics.03,NA.Statistics.04,NA.Statistics.05,NA.Statistics.06,NA.Data-management-curation,NA.Data-management.01,NA.Data-management.02,NA.Data-management.03,NA.Data-management.04,NA.Data-management.05,NA.Data-management.06,NA.Data-management.07,NA.Data-description-visualization,NA.Data-description-visualization.01,NA.Data-description-visualization.02,NA.Data-description-visualization.03,NA.Data-modeling-assessment,NA.Modeling.01,NA.Modeling.02,NA.Modeling.03,NA.Modeling.04,NA.Modeling.05,NA.Modeling.06,NA.Workflow-reproducibility,NA.Reproducibility.01,NA.Reproducibility.02,NA.Communication-teamwork,NA.Communication.01,NA.Communication.02,NA.Communication.03,NA.Communication.04,NA.Communication.05,NA.Domain.01,NA.Ethics,NA.Ethics.01,NA.Ethics.02,NA.Ethics.03,NA.Ethics.04,NA.Ethics.05
Syllabus/Website investigated further,Stanford University,Data Science Minor,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,
4-point scale code,Pennsylvania State University - Main Campus,"B.S. in Data Sciences, Computational Science option",,4,4,4,4,4,3,,4,4,4,4,1,,4,1,1,4,3,1,,1,4,4,1,4,1,4,,4,4,1,,4,4,1,2,3,4,,1,1,,1,3,3,4,4,1,,1,4,2,1,2
2-point scale code,Pennsylvania State University - Main Campus,"B.S. in Data Sciences, Computational Science option",,1,1,1,1,1,1,,1,1,1,1,0,,1,0,0,1,1,0,,0,1,1,0,1,0,1,,1,1,0,,1,1,0,0,1,1,,0,0,,0,1,1,1,1,0,,0,1,0,0,0
Explanation,Pennsylvania State University - Main Campus,"B.S. in Data Sciences, Computational Science option",,Required CMPSC 360: Discrete Mathematics for Computer Science covers sets,Required MATH 230: Calculus and Vector Analysis covers Three-dimensional analytic geometry,Required STAT 414 Introduction to Probability Theory,"Required MATH 220 Matrices (linear equations, matrix algebra)",Required CMPSC 360: Discrete Mathematics for Computer Science covers graphs. Jeff confirmed that this is same as graph theory.,"Required, MATH 140. The honors option, MATH 140: Calculus With Analytic Geometry I, covers optimization. Non-honors class does not. We gave a 3, therefore. ",,Required computer science class,Required CMPSC 465 Data Structures and Algorithms,Required course in computer science that covers programming language,Required CS class,no,,Required intro to stats class,no,no,Required intro to stats class,Required intro stats course,no,,no,"Required 
STAT 380: Data Science Through Statistical Reasoning and Computation
covers","Required 
DS 220: Data Management for Data Sciences
","Required IST 210: Organization of Data
does not address ethics",Required DS 300 Data Privacy & Security,no,Required DS 220 Data Management for Data Sciences covers databases,,Required intro to stats class,Required intro to stats class,no,,Required machine learning course,Required machine learning course,No,Option is EE 456 Introduction to Neural Networks,Required DS 340W (Applied Data Sciences) says it covers modeling,Required machine learning course,,no,no,,Capstone required but don't know if client worked with,"Required 
DS 340W: Applied Data Sciences
includes writing reports
","team project is part of required course 
DS 340W: Applied Data Sciences
",Required ENGL 202C Technical Writing,Required CAS 100 (GWS) Effective Speech,Required GE courses,,no,"Required 
DS 300: Privacy and Security for Data Sciences
","Required STAT 380: Data Science Through Statistical Reasoning and Computation
covers some","Required STAT 380: Data Science Through Statistical Reasoning and Computation
covers some","Required STAT 380: Data Science Through Statistical Reasoning and Computation
covers some"
Syllabus/Website investigated further,Pennsylvania State University - Main Campus,"B.S. in Data Sciences, Computational Science option",,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,
4-point scale code,Pennsylvania State University - Main Campus,BS in Data Sciences: Applied Data Science option,,4,2,4,4,4,3,,4,4,4,4,1,,4,1,1,4,4,1,,1,4,4,1,4,1,4,,4,4,3,,4,4,2,2,4,4,,1,1,,2,3,3,4,4,1,,1,4,2,1,2
2-point scale code,Pennsylvania State University - Main Campus,BS in Data Sciences: Applied Data Science option,,1,0,1,1,1,1,,1,1,1,1,0,,1,0,0,1,1,0,,0,1,1,0,1,0,1,,1,1,1,,1,1,0,0,1,1,,0,0,,0,1,1,1,1,0,,0,1,0,0,0
Explanation,Pennsylvania State University - Main Campus,BS in Data Sciences: Applied Data Science option,,"Required IST 230 Language, Logic, and Discrete Mathematics or
CMPSC 360 Discrete Mathematics covers",Optional MATH 230: Calculus and Vector Analysis covers Three-dimensional analytic geometry covers,Required STAT 318 Elementary Probability,Required MATH 220 Matrices covers,"Required IST 230 Language, Logic, and Discrete Mathematics or CMPSC 360 Discrete Mathematic covers graphs. Jeff confirmed that this is same as graph theory.","Required, MATH 140. The honors option, MATH 140: Calculus With Analytic Geometry I, covers optimization. Non-honors class does not. We gave a 3, therefore. ",,Required computer science course,"Required 
CMPSC 132: Programming and Computation II: Data Structures
covers",Required courses in computer science that uses programming language,Required courses in computer science that uses programming language,no,,Required intro stats course,no,no,Required intro stats course,"Required 
DS 310: Machine Learning for Data Analytics
covers assessing the performance of alternative models",no,,no,Required STAT 380 Data Science through Statistical Reasoning and Computation covers ,Required DS 220 Data Management for Data Sciences ,No,Required DS 300 Data Privacy & Security,no,Required DS 220 Data Management for Data Sciences covers databases,,Required intro stats course,Required intro stats course,Required DS 330 Visualization and Visual Analytics covers ,,Required DS 310 Machine Learning and Data Mining,Required DS 310 Machine Learning and Data Mining,"Required DS 310: Machine Learning for Data Analytics
covers dimension reduction
; unsupervised learning not addressed",Option is CMPSC 441: Artificial Intelligence,"Required DS 310: Machine Learning for Data Analytics
covers ""assessing the performance of alternative models""",Required DS 310 Machine Learning and Data Mining,,no,no,,"Required 1 credit of IST 495-IST Internship ; option to take course that interacts with clients: 
IST 337: Technologies for Digital Entrepreneurs
","Required 
DS 340W: Applied Data Sciences
includes writing reports
","team project is part of required course 
DS 340W: Applied Data Sciences
",Required ENGL 202C Technical Writing,Required speech class CAS 100,"BS in Data Sciences, Applied Data Science option",,no,"Required 
DS 300: Privacy and Security for Data Sciences
","Required STAT 380: Data Science Through Statistical Reasoning and Computation
covers some","Required STAT 380: Data Science Through Statistical Reasoning and Computation
covers some","Required STAT 380: Data Science Through Statistical Reasoning and Computation
covers some"
Syllabus/Website investigated further,Pennsylvania State University - Main Campus,BS in Data Sciences: Applied Data Science option,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,x,,,,,,,,,,,,,,,,
4-point scale code,University of Washington - Seattle,"B.S. in Applied & Computational Mathematical Sciences, Data Sciences & Statistics Track",,1,4,4,4,4,2,,4,2,4,4,1,,4,4,2,4,4,2,,1,1,1,1,1,1,4,,4,4,3,,4,4,3,1,4,4,,1,1,,1,2,2,3,2,1,,1,1,1,1,1
2-point scale code,University of Washington - Seattle,"B.S. in Applied & Computational Mathematical Sciences, Data Sciences & Statistics Track",,0,1,1,1,1,0,,1,0,1,1,0,,1,1,0,1,1,0,,0,0,0,0,0,0,1,,1,1,1,,1,1,1,0,1,1,,0,0,,0,0,0,1,0,0,,0,0,0,0,0
Explanation,University of Washington - Seattle,"B.S. in Applied & Computational Mathematical Sciences, Data Sciences & Statistics Track",,no,Required multivariable calculus,Required Probability I (4 credits): MATH/STAT 394,Required Matrix Algebra with Applications,Required MATH 381 Discrete Mathematical Modeling covers graph theory,"Optional courses, such as MATH 407: (3) Linear Optimization, cover",,Required computer science class,Option to take CSE 373: Data Structures and Algorithms,Required CSE 142 covers Java,Required intro course in computer science,no,,Required intro to stats course,Required STAT 391: (4) Quantitative Introductory Statistics for Data Science covers principal component analysis,Option to take STAT 421: (4) Applied Statistics and Experimental Design,Required intro to stats course,Required STAT 391 Quantitative Introductory Statistics for Data Science covers,Option to take STAT 421: (4) Applied Statistics and Experimental Design; simulations not covered,,no,no,no,no,no,no,Required CSE 414: (4) Introduction to Database Systems,,Required intro to stats course,Required intro to stats course,Required STAT 391 Quantitative Introductory Statistics for Data Science covers visualization,,Required STAT 391 Quantitative Introductory Statistics for Data Science covers basics of machine learning,Required STAT 391 Quantitative Introductory Statistics for Data Science covers basics of machine learning,Required STAT 391 Quantitative Introductory Statistics for Data Science covers principal components analysis and unsupervised learning covered in optional course,no,Required STAT 391 Quantitative Introductory Statistics for Data Science covers ,Required STAT 391 Quantitative Introductory Statistics for Data Science covers basics of machine learning,,no,no,,no,Default score,Default score,University-wide writing requirement; https://www.washington.edu/uaa/advising/degree-overview/general-education/,Optional is AMATH 481: (5) Scientific Computing that includes presentation,"B.S. in Applied & Computational Mathematical Sciences, Data Sciences & Statistics Track",,no,no,no,no,no
Syllabus/Website investigated further,University of Washington - Seattle,"B.S. in Applied & Computational Mathematical Sciences, Data Sciences & Statistics Track",,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,
4-point scale code,University of Washington - Seattle,"BS in Computer Science, Data Science Option",,4,2,1,4,1,1,,4,4,4,4,1,,1,1,1,4,1,1,,1,1,1,1,4,1,4,,2,4,3,,4,4,3,4,1,4,,1,1,,1,2,3,3,2,1,,3,4,1,1,2
2-point scale code,University of Washington - Seattle,"BS in Computer Science, Data Science Option",,1,0,0,1,0,0,,1,1,1,1,0,,0,0,0,1,0,0,,0,0,0,0,1,0,1,,0,1,1,,1,1,1,1,0,1,,0,0,,0,0,1,1,0,0,,1,1,0,0,0
Explanation,University of Washington - Seattle,"BS in Computer Science, Data Science Option",,Required CSE 311: Foundations Of Computing I covers,Optional MATH 126 Calculus with Analytic Geometry III ,no,Required MATH 308 Matrix Algebra with Applications,no,no,,Required intro to CS course,Required CSE 421 Introduction to Algorithms,"Required CSE 142 
 Computer Programming covers Java",Required intro to CS course,no,,no,no,No,Required CSE 442 Data Visualization covers data exploration,No,No,,no,no,No,no,Required SOC 225 Data & Society covers privacy,no,Required CSE 444 Database Systems Internals,,"Required CSE 446 Machine Learning; some of prereqs are required stats courses, but not for all options",Required CSE 442 Data Visualization covers data exploration,Required CSE 442 Data Visualization,,Required CSE 446 Machine Learning,Required CSE 446 Machine Learning,Required CSE 446 Machine Learning covers unsupervised learning and principal components covered in optional course,Required CSE 446 Machine Learning covers,No,Required CSE 446 Machine Learning,,no,no,,No,Default,Required CSE 331: Software Design And Implementation  has team project,Required UW approved writing course,Default,GE requirements,,"Required SOC 225 Data & Society covers ""Social implications of the digital revolution, including ethical issues associated with algorithmic design and privacy""",Required SOC 225 Data & Society covers privacy,no,no,"Required SOC 225 Data & Society covers ""Social implications of the digital revolution, including ethical issues associated with algorithmic design and privacy"""
Syllabus/Website investigated further,University of Washington - Seattle,"BS in Computer Science, Data Science Option",,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-point scale code,University of Washington - Seattle,"B.S. in Informatics, Data Science Track",,1,1,4,1,1,1,,4,4,4,4,1,,4,1,4,4,3,2,,1,4,1,1,4,1,4,,4,4,3,,4,4,2,1,2,4,,1,1,,4,2,3,3,2,1,,3,4,1,1,1
2-point scale code,University of Washington - Seattle,"B.S. in Informatics, Data Science Track",,0,0,1,0,0,0,,1,1,1,1,0,,1,0,1,1,1,0,,0,1,0,0,1,0,1,,1,1,1,,1,1,0,0,0,1,,0,0,,1,0,1,1,0,0,,1,1,0,0,0
Explanation,University of Washington - Seattle,"B.S. in Informatics, Data Science Track",,no,no,Required STAT 311 Elements of Statistical Methods covers,no,no,no,,Required CSE 142 Computer Programming I,Required CSE 373 Data Structures and Algorithms,Required INFO 370 Core Methods in Data Science covers ,Required CSE 142 Computer Programming I,no,,Required INFO 370 Core Methods in Data Science and INFO 371 Advanced Methods in Data Science cover intro stats,no,Required INFO 371 Advanced Methods in Data Science covers experimental design,Required intro stats course,Required intro stats course,Required INFO 371 Advanced Methods in Data Science covers experimental design; not simulations,,no,Required INFO 370 Core Methods in Data Science covers,no,no,Required INFO 370 Core Methods in Data Science covers,no,Required INFO 330 (formerly 340) Databases & Data Modeling,,Required STAT 311 Elements of Statistical Methods,Required STAT 311 Elements of Statistical Methods,Required coursework in visualization,,Required INFO 370 Core Methods in Data Science covers machine learning,Required INFO 370 Core Methods in Data Science covers machine learning,Required INFO 371 Advanced Methods in Data Science covers unsupervised learning. principal components not covered ,no,Required intro to stats course. ,Required INFO 370 Core Methods in Data Science covers machine learning,,no,no,,Required INFO 340 (formerly 343) Client-Side Development,Default,Required INFO 490 Capstone Project I includes team project,Required English Composition,Default score,Students take courses for major and electives are to be used for the data science specialization; major is in informatics with a few extra courses for data science specialization,,"Required INFO 370 Introduction to Data Science
covers ""awareness of the ethical and privacy implications of the data revolution""",Required INFO 370 Core Methods in Data Science covers,no,no,no
Syllabus/Website investigated further,University of Washington - Seattle,"B.S. in Informatics, Data Science Track",,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,,
4-point scale code,University of Washington - Seattle,B.S. in Statistics with Data Science option,,2,4,4,2,1,1,,4,1,4,4,1,,4,2,4,4,4,2,,1,2,1,1,2,1,4,,4,4,2,,2,2,2,1,3,2,,1,1,,1,2,2,3,2,1,,2,2,1,1,2
2-point scale code,University of Washington - Seattle,B.S. in Statistics with Data Science option,,0,1,1,0,0,0,,1,0,1,1,0,,1,0,1,1,1,0,,0,0,0,0,0,0,1,,1,1,0,,0,0,0,0,1,0,,0,0,,0,0,0,1,0,0,,0,0,0,0,0
Explanation,University of Washington - Seattle,B.S. in Statistics with Data Science option,,"covered in Math 300, which is on non-honors track option","Required MATH 126 Calculus with Analytic Geometry III  (or MATH 136, the honors option)",Required course in probability theory,Option to take linear algebra for non-honors students,no,no,,Required intro class in CS,no,Required CSE 142 and 143 cover 2 languages,Required intro class in CS,no,,Required intro stats course,Stat 340 covers and is optional,Required STAT 421 Applied Statistics and Experimental Design,Required intro stats course,Required STAT 421 Applied Statistics and Experimental Design covers fixed effects and random effects models,Required STAT 421 Applied Statistics and Experimental Design. simulations not covered,,no,Optional course is STAT 390 Statistical Methods in Engineering and Science that covers; Jeff confirmed,no,no,"Required One of the following: CSE 491, SOC 225, or approved 1 credit seminar covering privacy, security, ethics, and society implications of data science. Not guaranteed privacy is covered in CSE 491 as there are rotating topics. ",no,"Required One of the following:  CSE 414,  INFO 330 covers databases",,Required intro stats course,Required intro stats course,Required coursework in visualization (two choices are data visualization and two are information visualization),,"Optional is machine learning, STAT 435 Introduction to Statistical Machine Learning ","Optional is machine learning, STAT 435 Introduction to Statistical Machine Learning ",Optional is STAT 435 that covers unsupervised learning,no,Required STAT 421 Applied Statistics and Experimental Design,"Optional is machine learning, STAT 435 Introduction to Statistical Machine Learning ",,no,no,,no,Default,Default,"Required to complete at least seven credits of writing-intensive (""W"") courses.",Default,Degree is B.S. in Statistics with Data Science option,,"Required CSE 491, SOC 225, or approved 1 credit seminar covering privacy, security, ethics, and society implications of data science covers at least to some extent","Required One of the following: CSE 491, SOC 225, or approved 1 credit seminar covering privacy, security, ethics, and society implications of data science. Not guaranteed privacy is covered in CSE 491 as there are rotating topics. ",no,no,Option to take SOC 225 that covers to some degree
Syllabus/Website investigated further,University of Washington - Seattle,B.S. in Statistics with Data Science option,,,,,,,,,,,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-point scale code,University of Washington - Seattle,B.S. in Human Centered Design & Engineering with Data Science option,,1,4,3,1,1,1,,2,1,3,3,1,,4,1,2,4,3,2,,1,2,4,1,1,1,4,,4,4,2,,4,4,2,2,2,4,,1,1,,2,2,3,3,4,4,,1,1,4,1,1
2-point scale code,University of Washington - Seattle,B.S. in Human Centered Design & Engineering with Data Science option,,0,1,1,0,0,0,,0,0,1,1,0,,1,0,0,1,1,0,,0,0,1,0,0,0,1,,1,1,0,,1,1,0,0,0,1,,0,0,,0,0,1,1,1,1,,0,0,1,0,0
Explanation,University of Washington - Seattle,B.S. in Human Centered Design & Engineering with Data Science option,,No,Required is multivariable calculus (Calc III) in order to take required stats course ,Required intro to stats,No,No,No,,Optional class in computer science,no,Required stats course uses R,"3 choices, CSE 416 Intro to Machine Learning
INFO 371 Advanced Methods in Data Science
STAT 435 Introduction to Statistical Machine Learning
, all count as applications courses. Jeff confirmed",no,,Required intro to stats,No,Optional INFO 371 Advanced Methods in Data Science covers,Required intro to stats,Required intro to stats,Optional INFO 371 Advanced Methods in Data Science covers experimental design,,no,"Optional course is INFO 371 Advanced Methods in Data Science. The prereq for this course, INFO 370, covers transformation. Jeff confirmed",Required course in data management,no,No,no,Required course in databases,,Required intro to stats,Required intro to stats,Required HCDE 411 Information Visualization,,Required course in machine learning,Required course in machine learning,Optional INFO 371 Advanced Methods in Data Science and STAT 435 Introduction to Statistical Machine Learning cover unsupervised learning,Optional STAT 416 Introduction to Machine Learning covers,Required intro to stats,Required course in machine learning,,no,no,,Required HCDE 495 internship,Default,Required HCDE 322 Organizational Teamwork covers to some extent,"Required to complete at least seven credits of writing-intensive (""W"") courses.",Required HCDE 231 Introduction to Communication in HCDE includes oral presentations,Students must complete major in HCDE with specialization in data science,,No,No,Required HCDE 313 Introduction to User Research covers ethics,no,no
Syllabus/Website investigated further,University of Washington - Seattle,B.S. in Human Centered Design & Engineering with Data Science option,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
