Institution,Short.name
Ohio State University - Main Campus,Ohio State
Pennsylvania State University - Main Campus,Penn State
Stanford University,Stanford
University of Arizona,Arizona
University of California - Berkeley,UC Berkeley
University of California - Davis,UC Davis
University of Colorado - Boulder,CU Boulder
University of Iowa,Iowa
University of Maryland - College Park,Maryland
University of Washington - Seattle,Washington
Washington State University,Washington State
